table_name,column_name,data_type,is_nullable,column_default
COM_CONTACT,id,bigint,NO,null
COM_CONTACT,category,text,NO,null
COM_CONTACT,title,text,YES,null
COM_CONTACT,description,text,YES,null
COM_CONTACT,email,text,YES,null
COM_CONTACT,status,text,YES,'pending'::text
COM_CONTACT,response,text,YES,null
COM_CONTACT,act_kbn,boolean,YES,true
COM_CONTACT,created_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
COM_CONTACT,created_by,bigint,YES,null
COM_CONTACT,solved_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
COM_CONTACT,solved_by,bigint,YES,null
COM_UPD_NOTE,upd_id,bigint,NO,null
COM_UPD_NOTE,version,text,NO,null
COM_UPD_NOTE,release_date,timestamp with time zone,YES,null
COM_UPD_NOTE,title,text,YES,null
COM_UPD_NOTE,description,text,YES,null
COM_UPD_NOTE,update_type,text,YES,null
COM_UPD_NOTE,fav_cnt,bigint,YES,'0'::bigint
COM_UPD_NOTE,created_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
COM_UPD_NOTE,updated_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
COM_UPD_NOTE,updated_by,bigint,YES,null
COM_UPD_NOTE,act_kbn,boolean,YES,true
COM_UPD_NOTE,created_by,bigint,YES,null
EMP_CIZ_HIST,history_id,bigint,NO,null
EMP_CIZ_HIST,emp_no,bigint,NO,null
EMP_CIZ_HIST,change_type,text,YES,''::text
EMP_CIZ_HIST,ciz,bigint,YES,null
EMP_CIZ_HIST,event_id,bigint,YES,null
EMP_CIZ_HIST,reason,text,YES,null
EMP_CIZ_HIST,created_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
EMP_CIZ_HIST,created_by,bigint,YES,null
EMP_CIZ_HIST,updated_at,timestamp with time zone,YES,(now() AT TIME ZONE 'jst'::text)
EMP_CIZ_HIST,updated_by,bigint,YES,null
EMP_CIZ_HIST,act_kbn,boolean,YES,true
EMP_CIZ_TOTAL,ciz_id,bigint,NO,null
EMP_CIZ_TOTAL,emp_no,bigint,NO,null
EMP_CIZ_TOTAL,total_ciz,bigint,NO,null
